CD,USP_DEM_2016,USP_REP_2016,USP_OTH_2016,USP_MARGIN_2016,USS_DEM_2016,USS_REP_2016,USS_OTH_2016,USS_MARGIN_2016,USC_DEM_2016,USC_REP_2016,USC_OTH_2016,USC_MARGIN_2016,USP_DEM_2012,USP_REP_2012,USP_OTH_2012,USP_MARGIN_2012,USS_DEM_2012,USS_REP_2012,USS_OTH_2012,USS_MARGIN_2012,USC_DEM_2012,USC_REP_2012,USC_OTH_2012,USC_MARGIN_2012,TOTALPOP_2010,TOTALPOP_2015,TOTALPOP_CHANGE,ALAND,AWATER,ALAND SQ MI,POPDEN_2010,POPDEN_2015,POPDEN_CHANGE,NONWHITE_2010,NONWHITE_2015,NONWHITE_CHANGE,UNEMPLOY_2010,UNEMPLOY_2015,UNEMPLOY_CHANGE,COLLEGE_2010,COLLEGE_2015,COLLEGE_CHANGE,INC_2010,INC_2010,INC_CHANGE
1,250924,57521,7160,-0.612800811,240011,60919,3841,-0.587628088,245791,53219,0,-0.644031972,243959,50076,2547,-0.653724771,233925,46651,0,-0.667462648,234923,41590,0,-0.699182317,693698.458,706831.091,1.893132794,202032462,30932445,78.00513764,8892.984218,9061.340219,0.018931328,0.574882946,0.597237006,2.235405959,0.134621832,0.141725547,0.710371455,0.200752155,0.232168411,3.141625659,40814.70728,43606.04826,6.839056734
2,334322,28067,7367,-0.828262422,319789,38264,3443,-0.778777635,349487,45672,0,-0.768842415,338889,33665,2397,-0.814037034,323827,33155,0,-0.814248337,318176,33381,4829,-0.799119494,712204.799,738271.247,3.659965229,192027437,3460343,74.14217748,9605.93313,9957.506943,351.573813,0.706371735,0.70352625,-0.284548527,0.130396802,0.1474101,1.70132981,0.287827677,0.322152769,3.432509267,41695.02138,44846.688,7.558855984
3,113572,197996,12829,0.260249016,115652,189812,16292,0.230485212,0,244893,283,0.997691454,132525,170811,4769,0.124262832,133725,171122,35,0.12266057,123933,165826,12812,0.138456759,705452.53,699434.753,-0.853037837,9973638772,2115958030,3850.841877,183.1943644,181.6316471,-1.5627173,0.08171371,0.093753211,1.203950188,0.076628941,0.073518756,-0.311018516,0.218024012,0.240519386,2.249537414,47430.2074,51020.6323,7.569911862
4,125759,198572,14354,0.214987378,124231,198110,15828,0.218467689,113372,220628,0,0.321125749,129219,177704,5356,0.155261801,131812,176331,213,0.144375332,104643,181603,18191,0.252794503,692881.237,711394.48,2.671921537,3931313199,41441032,1517.887889,456.4772156,468.6739286,12.196713,0.160318724,0.180737216,2.041849208,0.062097302,0.074266047,1.216874497,0.233820479,0.251039739,1.721926033,58533.61428,60408.89761,3.203771632
5,105129,195700,13268,0.288353598,108073,186017,18452,0.249387282,100556,205140,0,0.342117659,119988,165375,5505,0.156039853,119101,168284,63,0.171102252,104725,177740,95,0.258405294,704409.059,707032.317,0.372405489,27742738757,213229360,10711.52692,65.76177834,66.00667882,0.24490048,0.0605516,0.07321216,1.266056036,0.073294923,0.069906954,-0.338796891,0.221829818,0.240948454,1.911863639,42957.92982,47585.43673,10.77218322
6,178170,176401,15637,-0.004778395,165236,192578,11868,0.073960864,155000,207469,0,0.144754448,166030,174415,4503,0.024308012,168958,170768,0,0.005327823,143803,191725,0,0.142825636,691591.655,716181.587,3.555556494,2228751201,29628414,860.5252962,803.6854443,832.2609343,28.57549,0.131159575,0.159782748,2.862317379,0.053403958,0.061137516,0.773355799,0.391852024,0.419522764,2.767074085,79235.88385,83421.62539,5.282633752
7,190599,181455,14285,-0.023668333,172886,204279,7378,0.081637164,153824,225678,0,0.189337606,176774,183392,4072,0.018169439,180979,176576,3,-0.012314086,143021,209260,7,0.188025139,736383.482,756375.222,2.714854487,2233888247,21404312,862.5087199,853.7693185,876.9479131,23.1785946,0.132738902,0.160456121,2.771721882,0.052420308,0.063206715,1.078640686,0.402911468,0.417090171,1.417870212,81797.10594,85745.33897,4.826861511
8,185685,186607,14733,0.002382275,175064,200413,6495,0.066363503,173555,207263,0,0.088514724,177492,177121,4704,-0.001032514,179077,172677,0,-0.018194534,152203,198802,0,0.132758793,699717.871,706095.417,0.91144535,1831099436,49241182,706.9911544,989.7123417,998.7330288,9.0206871,0.124226042,0.146051403,2.182536108,0.057801656,0.068155559,1.035390345,0.347163452,0.374681944,2.751849178,80634.30342,84217.9022,4.444260857
9,83433,214262,9308,0.42614893,92409,195152,17857,0.33640126,107985,186580,0,0.266817171,100689,176292,4100,0.268972289,108722,170673,90,0.22166127,105409,168662,503,0.23036777,708490.274,704926.082,-0.503068586,14840774817,94924656,5730.052838,123.6446319,123.0226146,-0.6220173,0.060585584,0.069010988,0.842540396,0.074866696,0.075051185,0.018448847,0.16058686,0.174793529,1.420666872,42209.22035,46236.45338,9.54112159
10,93282,204201,11632,0.358827621,97832,189963,18788,0.300509161,89823,211282,6,0.403369522,109382,170777,4501,0.215678353,111971,169052,71,0.203067301,94227,179563,112,0.311556688,706136.342,706156.269,0.002821976,21698029750,298832373,8377.652683,84.28808985,84.29046844,0.00237859,0.079523348,0.094145139,1.462179107,0.073089432,0.074130859,0.104142769,0.19604944,0.20413297,0.808353051,46541.70282,51426.9289,10.49644895
