GEO_ID	CLINTON	TRUMP	OTHERS_USP	MCGINTY	TOOMEY	OTHERS_USS	DEM_USC	REP_USC	OTHERS_USC	margin_usp	margin_uss	margin_usc
1400000US42011000100	1205.398	206.035	31.185	1088.319	202.537	34.867	1066.589	181.661	20.433	-0.692742639	-0.668150134	-0.697517031
1400000US42021000100	153.31	87.118	6.631	154.36	74.056	15.767	141.418	101.755	0	-0.267919809	-0.328868103	-0.163106101
1400000US42049000100	413.851	171.588	25.129	398.034	176.277	27.762	0	289.946	0	-0.396782996	-0.368322446	1
1400000US42071000100	891.752	204.724	69.824	861.218	247.7	51.668	855.69	255.002	41.599	-0.589066278	-0.528627779	-0.521298873
1400000US42073000100	864.544	1077.584	75.824	920.368	976.544	96.062	0	1441.792	0	0.105572382	0.028187021	1
1400000US42075000100	731.03	743.084	73.112	734.705	690.196	110.393	742.475	772.441	0	0.007790717	-0.028990539	0.019780635
1400000US42081000100	644.717	936.763	80.055	644.275	924.133	109.54	608.455	1058.979	0	0.175768792	0.16678586	0.270190005
1400000US42101000100	1818.346	305.455	76.032	1679.041	470.649	33.782	1638.516	487.277	0	-0.687729932	-0.553426836	-0.541557433
1400000US42107000100	515	1967	69	624	1695	187	779	1668	0	0.569188554	0.427374302	0.363302002
1400000US42133000100	499.613	91.682	23.522	486.998	98.332	26.916	490.667	115.931	0	-0.663499871	-0.634819991	-0.617766626
1400000US42077000101	690.308	407.304	37.147	673.838	402.356	52.68	615.376	448.942	47.773	-0.249395687	-0.240489195	-0.149658616
1400000US42077000102	457.605	195.576	18.692	448.376	190.45	22.25	425.526	214.406	17.032	-0.389997812	-0.390160889	-0.32135703
1400000US42011000200	1018	258	24	937	255	25	925	224	20	-0.584615385	-0.560394412	-0.599657827
1400000US42021000200	239.593	145.749	8.738	242.504	117.038	28.242	237.605	149.36	0	-0.238134389	-0.323546098	-0.22804388
1400000US42049000200	1163	937.525	91.4	1094.15	1049.525	57.55	0	1307.225	0	-0.102866202	-0.020272803	1
1400000US42071000200	748.73	376.455	66.995	731.65	396.736	61.168	737.182	407.63	41.481	-0.312264088	-0.281545857	-0.277799835
1400000US42073000200	261.626	256.613	23.709	286.606	204.182	44.844	0	357.843	0	-0.009249965	-0.15388177	1
1400000US42075000200	1038.448	1192.425	83.302	1018.064	1139.434	121.714	1012.79	1223.901	0.162	0.066536455	0.05325086	0.094378576
1400000US42081000200	494.83	533.681	55.909	491.218	560.257	46.6	469.827	632.07	0	0.035826525	0.062872755	0.147239715
1400000US42101000200	616.231	93.962	26.622	559.51	129.078	8.682	556.042	126.953	0	-0.708819717	-0.617310368	-0.62824618
1400000US42107000200	253	646	26	327	494	89	407	497	0	0.424864865	0.183516484	0.099557522
1400000US42133000200	231.481	40.722	10.154	220.667	42.259	15.311	224.271	50.216	0	-0.67559508	-0.641208754	-0.634110176
1400000US42011000300	842.425	183.972	31.11	775.905	178.21	31.833	786.993	160.571	18.755	-0.622646469	-0.606213512	-0.648255907
1400000US42021000300	417.407	213.861	19.826	440.606	178.39	30.912	408.897	238.824	0	-0.312621526	-0.403466337	-0.262571385
1400000US42049000300	984.567	413.787	72.755	947.293	455.422	48.009	0	722.851	0	-0.387993004	-0.339052087	1
1400000US42071000300	1208.492	478.016	133.885	1197.036	523.731	102.306	1188.709	532.276	86.283	-0.401273791	-0.369324212	-0.363218405
1400000US42073000300	561.912	458.463	35.295	599.561	378.017	64.646	0	642.362	0	-0.097993691	-0.212568507	1
1400000US42075000300	514.428	272.11	18.877	487.584	247.464	37.694	484.53	264.281	6.162	-0.300861047	-0.310737607	-0.291730963
