GEO_ID	CLINTON	TRUMP	OTHERS_USP	MCGINTY	TOOMEY	OTHERS_USS	DEM_USC	REP_USC	OTHERS_USC
1400000US42011000100	1205.398	206.035	31.185	1088.319	202.537	34.867	1066.589	181.661	20.433
1400000US42021000100	153.31	87.118	6.631	154.36	74.056	15.767	141.418	101.755	0
1400000US42049000100	413.851	171.588	25.129	398.034	176.277	27.762	0	289.946	0
1400000US42071000100	891.752	204.724	69.824	861.218	247.7	51.668	855.69	255.002	41.599
1400000US42073000100	864.544	1077.584	75.824	920.368	976.544	96.062	0	1441.792	0
1400000US42075000100	731.03	743.084	73.112	734.705	690.196	110.393	742.475	772.441	0
1400000US42081000100	644.717	936.763	80.055	644.275	924.133	109.54	608.455	1058.979	0
1400000US42101000100	1818.346	305.455	76.032	1679.041	470.649	33.782	1638.516	487.277	0
1400000US42107000100	515	1967	69	624	1695	187	779	1668	0
1400000US42133000100	499.613	91.682	23.522	486.998	98.332	26.916	490.667	115.931	0
1400000US42077000101	690.308	407.304	37.147	673.838	402.356	52.68	615.376	448.942	47.773
1400000US42077000102	457.605	195.576	18.692	448.376	190.45	22.25	425.526	214.406	17.032
1400000US42011000200	1018	258	24	937	255	25	925	224	20
1400000US42021000200	239.593	145.749	8.738	242.504	117.038	28.242	237.605	149.36	0
1400000US42049000200	1163	937.525	91.4	1094.15	1049.525	57.55	0	1307.225	0
1400000US42071000200	748.73	376.455	66.995	731.65	396.736	61.168	737.182	407.63	41.481
1400000US42073000200	261.626	256.613	23.709	286.606	204.182	44.844	0	357.843	0
1400000US42075000200	1038.448	1192.425	83.302	1018.064	1139.434	121.714	1012.79	1223.901	0.162
1400000US42081000200	494.83	533.681	55.909	491.218	560.257	46.6	469.827	632.07	0
1400000US42101000200	616.231	93.962	26.622	559.51	129.078	8.682	556.042	126.953	0
1400000US42107000200	253	646	26	327	494	89	407	497	0
1400000US42133000200	231.481	40.722	10.154	220.667	42.259	15.311	224.271	50.216	0
1400000US42011000300	842.425	183.972	31.11	775.905	178.21	31.833	786.993	160.571	18.755
1400000US42021000300	417.407	213.861	19.826	440.606	178.39	30.912	408.897	238.824	0
1400000US42049000300	984.567	413.787	72.755	947.293	455.422	48.009	0	722.851	0
1400000US42071000300	1208.492	478.016	133.885	1197.036	523.731	102.306	1188.709	532.276	86.283
1400000US42073000300	561.912	458.463	35.295	599.561	378.017	64.646	0	642.362	0
1400000US42075000300	514.428	272.11	18.877	487.584	247.464	37.694	484.53	264.281	6.162
1400000US42081000300	782.858	783.178	91.344	803.306	696.01	167.811	798.777	850.788	0
1400000US42101000300	1848.406	327.794	79.666	1693.774	492.522	27.26	1681.646	470.928	0
1400000US42107000300	697	2070	77	809	1760	225	962	1801	0
1400000US42133000300	86.884	20.767	4.014	82.21	21.997	5.794	84.586	24.121	0
1400000US42011000400	855.442	237.685	29.444	809.709	232.376	37.97	803.878	211.27	26.294
1400000US42049000400	807.145	305.966	47.437	783.93	308.65	43.362	0	511.959	0
1400000US42071000400	698.605	214.757	73.005	695.52	239.931	55.807	697.964	243.478	42.046
1400000US42073000400	589.368	246.879	28.471	599.193	217.473	40.584	0	399.57	0
1400000US42077000400	676.744	218.664	22.08	638.592	204.64	33.144	611.464	240.792	20.096
1400000US42081000400	1072.72	713.474	92.429	1066.95	701.097	120.841	1050.268	837.261	0
1400000US42107000400	302	970	35	391	798	95	474	795	0
1400000US42133000400	433.758	189.693	23.082	426.004	182.246	31.943	411.79	221.935	0
1400000US42075000401	1139.192	821.78	67.548	1133.772	750.731	112.305	1149.779	807.316	0
1400000US42101000401	904.403	142.266	20.658	816.991	211.496	10.434	811.567	201.524	0
1400000US42075000402	635.022	557.967	43.845	639.095	519.425	67.852	657.464	546.163	0
1400000US42101000402	1531.677	286.862	41.286	1402.971	391.092	16.796	1377.543	382.568	0
1400000US42011000500	868.43	254.962	37.757	828.736	243.711	30.678	840.529	215.004	20.272
1400000US42021000500	441.867	347.249	30.052	463.656	301.505	44.231	438.45	373.511	0
1400000US42049000500	74.576	31.278	4.661	72.344	29.616	5.507	0	50.797	0
1400000US42071000500	1337.645	346.868	99.25	1322.879	406.643	67.892	1323.393	415.21	53.354
1400000US42075000500	492.84	674.956	56.984	497.548	643.92	78.92	489.9	715.668	0
1400000US42077000500	4.744	0.664	0.08	4.592	0.64	0.144	4.464	0.792	0.096
1400000US42081000500	317.97	259.177	40.605	316.891	251.491	50.627	324.834	291.452	0
1400000US42101000500	1072.516	158.836	36.336	986.125	226.559	17.599	979.692	226.426	0
1400000US42107000500	481	882	49	558	714	118	701	684	0
1400000US42133000500	220.131	45.462	9.906	212.383	44.468	15.12	213.445	54.87	0
1400000US42011000600	1003.788	384.384	51.912	964.558	403.066	41.866	980.286	363.882	31.138
1400000US42021000600	380.083	425.048	38.227	403.12	368.838	57.633	395.804	430.337	0
1400000US42049000600	282.856	219.798	19.821	275.984	218.076	23.607	0	299.297	0
1400000US42071000600	868.511	219.578	67.893	847.961	266.287	43.366	868.026	254.222	32.295
1400000US42073000600	102.626	104.213	11.109	113.206	83.582	19.044	0	141.243	0
1400000US42077000600	1292.171	561.972	61.582	1250.763	551.896	88.169	1231.089	599.351	62.553
1400000US42081000600	886.359	961.393	103.356	880.618	906.016	165.318	873.282	1066.688	0
1400000US42101000600	645.319	89.878	20.988	596.995	130.723	11.717	588.332	135.017	0
1400000US42133000600	588.206	168.301	27.426	581.115	160.815	35.202	572.48	189.822	0
1400000US42107000601	410.932	688.8088	23.7132	490.8472	518.2938	93.9954	569.6102	526.8432	0
1400000US42107000602	53.932	77.0088	4.5132	66.6472	59.4938	8.5954	80.4102	53.6432	0
1400000US42011000700	1134.209	279.558	38.174	1044.302	284.307	40.552	1060.551	250.277	25.918
1400000US42021000700	523.889	674.382	45.105	575.046	605.376	68.992	567.975	686.407	0
1400000US42049000700	924.301	339.766	42.387	905.432	321.078	52.081	0	560.08	0
1400000US42071000700	763.086	207.098	63.815	738.798	251.422	44.797	737.834	245.895	43.252
1400000US42073000700	429.893	338.054	30.825	454.358	279.7	52.771	0	499.623	0
1400000US42077000700	944.224	149.05	12.937	868.171	161.047	39.15	872.073	176.927	23.74
1400000US42101000700	1780.36	251.341	44.669	1594.348	421.636	18.627	1599.498	387.715	0
1400000US42107000700	485	1063	37	627	810	129	735	819	0
1400000US42133000700	127.152	11.523	2.382	125.361	13.278	3.003	125.874	15.516	0
1400000US42011000800	419.175	92.584	16.631	393.516	94.432	14.492	396.314	80.815	12.116
1400000US42049000800	831.966	278.986	37.488	807.156	274.152	42.703	0	459.853	0
1400000US42071000800	644.073	95.887	19.279	623.272	111.608	17.579	627.437	107.169	12.031
1400000US42073000800	795.098	762.834	53.39	884.353	602.46	104.451	0	1053.993	0
1400000US42077000800	944.224	149.05	12.937	868.171	161.047	39.15	872.073	176.927	23.74
1400000US42081000800	246.696	148.425	22.14	243.654	141.597	32.613	249.78	168.099	0
1400000US42107000800	492	1160	40	528	993	147	661	992	0
1400000US42133000800	616.58	205.142	48.612	611.382	228.304	38.702	596.364	265.772	0
1400000US42101000801	1102.66	118.4	32.888	994.996	220.196	16.076	993.316	215.8	0
1400000US42101000803	1892.496	293.943	47.835	1720.348	471.448	16.933	1713.27	436.771	0
1400000US42101000804	1226.128	224.156	25.73	1103.56	353.208	9.626	1086.71	327.884	0
1400000US42011000900	822.882	191.355	26.774	763.409	198.996	30.54	760.738	174.1	24.324
1400000US42049000900	481.75	208.277	39.523	467.772	225.133	30.365	0	372.726	0
1400000US42071000900	973.62	111.889	23.146	940.695	128.46	25.208	934.377	131	18.625
1400000US42073000900	373.681	246.683	13.771	393.766	195.118	34.74	0	351.343	0
1400000US42077000900	285.184	48.459	8.355	271.816	46.231	15.039	271.816	50.687	9.469
1400000US42081000900	279.397	504.839	35.858	319.727	427.184	72.452	299.199	522.763	0
1400000US42107000900	690	2015	83	850	1721	192	1012	1734	0
