CD	DEM_USC	REP_USC	OTHERS_USC	DEM_CAND	REP_CAND	OTH_CAND
1	245791	53219	0	Robert Brady	Deborah Williams	
2	349487	45672	0	Dwight Evans	James Jones	
3	0	244893	283		Mike Kelly	
4	113372	220628	0	Joshua Burkholder	Scott Perry	
5	100556	205140	0	Kerith Strano Taylor	Glenn Thompson	
6	155000	207469	0	Mike Parrish	Ryan Costello	
7	153824	225678	0	Mary Ellen Balchunis	Patrick Meehan	
8	173555	207263	0	Steve Santarsiero	Brian Fitzpatrick	
9	107985	186580	0	Art Halvorson	Bill Shuster	
10	89823	211282	6	Michael Molesevich	Tom Marino	
11	113800	199421	0	Mike Marsicano	Lou Barletta	
12	137353	221851	0	Erin McClelland	Keith Rothfus	
13	239316	0	0	Brendan Boyle		
14	255293	87999	0	Michael F. Doyle	Lenny McAllister	
15	124128	190618	11727	Rick Daugherty	Charlie Dent	Paul Rizzo
16	134586	168669	10518	Christina Hartman	Lloyd Smucker	Shawn Patrick House
17	157734	135430	0	Matt Cartwright	Matt Connolly	
18	0	293684	0		Tim Murphy	
