,2010,2015,CHANGE,2010,2010,2015,2015,CHANGE,2010,2015,CHANGE,2010,2015,CHANGE,2010,2015,CHANGE,2010,2015,CHANGE,2010,2015,CHANGE
GEO_ID,HC01_VC38,HC01_VC43,,HC03_VC88,,HC03_VC94,,,HC03_VC13,HC03_VC12,,HC01_EST_VC17,HC02_EST_VC18,,HC01_EST_VC13,HC01_EST_VC13,,HC01_EST_VC15,HC01_EST_VC15,,,,
GEO_ID,TOTAL POPULATION,TOTAL POPULATION,% change in population,Percent; Not Hispanic or Latino - White alone,% non-white,Percent; Not Hispanic or Latino - White alone,% non-white,Gain (or loss) in % non-white,Percent Unemployed,Unemployment Rate,% gain (or lost) in unemployment,Percent bachelor's degree or higher,Percent bachelor's degree or higher,gain (or loss) in % with bachelors or higher,Households; Estimate; Median income (dollars),Households; Estimate; Median income (dollars),% increase (or decrease) in median income,Households; Estimate; Mean income (dollars),Households; Estimate; Mean income (dollars),% increase (or decrease) in mean income,diff between mean and median,diff between mean and median,%change in diff between mean and median
1400000US42001030101,2597,2586,-0.42%,95.4,4.6,94.8,5.2,0.6,3.4,6.3,2.9,18.8,19.7,0.9,70729,74667,5.57%,76988,90380,17.39%,6259,15713,151.05%
1400000US42001030102,5709,5809,1.75%,93.5,6.5,94.6,5.4,-1.1,7.2,5.9,-1.3,15.7,23.5,7.8,62372,66806,7.11%,80112,79316,-0.99%,17740,12510,-29.48%
1400000US42001030200,5656,5198,-8.10%,84.7,15.3,82.1,17.9,2.6,5.3,7,1.7,11.8,12.6,0.8,52424,51573,-1.62%,61930,65619,5.96%,9506,14046,47.76%
1400000US42001030300,3932,4258,8.29%,82.9,17.1,89.1,10.9,-6.2,5,5.7,0.7,17.4,16.8,-0.6,52731,62757,19.01%,61842,71291,15.28%,9111,8534,-6.33%
1400000US42001030400,5661,5796,2.38%,88.6,11.4,92.5,7.5,-3.9,2.9,3.8,0.9,18.2,22.7,4.5,57194,60478,5.74%,66634,73925,10.94%,9440,13447,42.45%
1400000US42001030500,3676,3756,2.18%,86.4,13.6,83.6,16.4,2.8,5,6.9,1.9,17.6,18,0.4,52039,54435,4.60%,66046,68438,3.62%,14007,14003,-0.03%
1400000US42001030600,4917,4937,0.41%,82.2,17.8,87.6,12.4,-5.4,4.6,7.7,3.1,20.7,21.1,0.4,60964,59286,-2.75%,73494,68068,-7.38%,12530,8782,-29.91%
1400000US42001030700,6647,6574,-1.10%,91,9,88.7,11.3,2.3,8.9,7.4,-1.5,14,15.5,1.5,49135,59058,20.20%,58078,69170,19.10%,8943,10112,13.07%
1400000US42001030800,7315,7132,-2.50%,91.3,8.7,92.8,7.2,-1.5,4.9,5,0.1,13.6,15.8,2.2,56649,63164,11.50%,65709,73207,11.41%,9060,10043,10.85%
1400000US42001030900,7223,7826,8.35%,88.8,11.2,84.9,15.1,3.9,5.4,4.6,-0.8,13.3,16.7,3.4,48582,55773,14.80%,54971,63656,15.80%,6389,7883,23.38%
1400000US42001031000,1623,1912,17.81%,100,0,99.2,0.8,0.8,3.3,3.5,0.2,6.6,24.1,17.5,58994,64356,9.09%,62519,64702,3.49%,3525,346,-90.18%
1400000US42001031101,5297,4929,-6.95%,96.4,3.6,91.6,8.4,4.8,3.4,4.7,1.3,11.5,13.3,1.8,43658,44310,1.49%,49388,54888,11.14%,5730,10578,84.61%
1400000US42001031102,3024,3352,10.85%,99.2,0.8,92.9,7.1,6.3,3.9,2.2,-1.7,15.8,21.8,6,74141,71711,-3.28%,73701,80795,9.63%,-440,9084,-2164.55%
1400000US42001031201,3632,3680,1.32%,98.6,1.4,93.4,6.6,5.2,3.5,6.8,3.3,28.7,40.3,11.6,61630,70566,14.50%,75426,90788,20.37%,13796,20222,46.58%
1400000US42001031202,2653,2712,2.22%,99.2,0.8,100,0,-0.8,3.9,3.4,-0.5,17.4,23.3,5.9,72667,75833,4.36%,76310,87107,14.15%,3643,11274,209.47%
1400000US42001031203,3143,3163,0.64%,95.9,4.1,97.5,2.5,-1.6,3.8,8.1,4.3,16.7,20.6,3.9,66563,74000,11.17%,79426,88148,10.98%,12863,14148,9.99%
1400000US42001031300,4428,4442,0.32%,93.4,6.6,94.9,5.1,-1.5,4,5.3,1.3,14.5,17.8,3.3,50568,55902,10.55%,59941,60324,0.64%,9373,4422,-52.82%
1400000US42001031401,4107,4208,2.46%,89.1,10.9,85.5,14.5,3.6,3.6,3.7,0.1,36.2,29.9,-6.3,56776,72580,27.84%,64409,88048,36.70%,7633,15468,102.65%
1400000US42001031402,2038,2004,-1.67%,94.7,5.3,95.3,4.7,-0.6,7.6,7.8,0.2,27,30.1,3.1,54545,63500,16.42%,78840,79563,0.92%,24295,16063,-33.88%
1400000US42001031501,3447,3401,-1.33%,86,14,84,16,2,5.6,6.9,1.3,52.1,36.6,-15.5,40833,42321,3.64%,60538,62734,3.63%,19705,20413,3.59%
1400000US42001031502,4246,4214,-0.75%,80.1,19.9,69.2,30.8,10.9,6.8,10.4,3.6,31.7,27.1,-4.6,41726,33661,-19.33%,54736,51402,-6.09%,13010,17741,36.36%
1400000US42001031600,6903,7119,3.13%,96.6,3.4,94,6,2.6,3.9,4.3,0.4,20.8,33.9,13.1,72159,75687,4.89%,88714,95228,7.34%,16555,19541,18.04%
1400000US42001031700,2965,2759,-6.95%,92.1,7.9,92.8,7.2,-0.7,4.2,3.8,-0.4,20.8,18.9,-1.9,54338,55214,1.61%,60500,62637,3.53%,6162,7423,20.46%
1400000US42003010300,4512,6294,39.49%,77.2,22.8,67.6,32.4,9.6,17.6,10.5,-7.1,16.5,12.4,-4.1,11125,41071,269.18%,21627,45855,112.03%,10502,4784,-54.45%
1400000US42003020100,5325,4060,-23.76%,49.8,50.2,76.6,23.4,-26.8,4.7,7,2.3,31,63.5,32.5,41795,67750,62.10%,74347,106941,43.84%,32552,39191,20.40%
1400000US42003020300,504,747,48.21%,57.7,42.3,83.1,16.9,-25.4,0,2.8,2.8,64.3,81.9,17.6,61442,94643,54.04%,92106,176420,91.54%,30664,81777,166.69%
1400000US42003030500,2308,2225,-3.60%,16,84,9.1,90.9,6.9,22.9,23,0.1,21.6,10.2,-11.4,14626,17997,23.05%,27342,30424,11.27%,12716,12427,-2.27%
1400000US42003040200,2435,1717,-29.49%,35.2,64.8,35.9,64.1,-0.7,8,22,14,36.5,32.9,-3.6,23233,19214,-17.30%,27286,25936,-4.95%,4053,6722,65.85%
1400000US42003040400,2004,2098,4.69%,63.9,36.1,54.8,45.2,9.1,2.6,5.7,3.1,65.1,84,18.9,20406,26196,28.37%,49691,48830,-1.73%,29285,22634,-22.71%
