GEO_ID	DEM_USC	REP_USC	OTHERS_USC
1400000US42011000100	1066.589	181.661	20.433
1400000US42021000100	141.418	101.755	0
1400000US42049000100	0	289.946	0
1400000US42071000100	855.69	255.002	41.599
1400000US42073000100	0	1441.792	0
1400000US42075000100	742.475	772.441	0
1400000US42081000100	608.455	1058.979	0
1400000US42101000100	1638.516	487.277	0
1400000US42107000100	779	1668	0
1400000US42133000100	490.667	115.931	0
1400000US42077000101	615.376	448.942	47.773
1400000US42077000102	425.526	214.406	17.032
1400000US42011000200	925	224	20
1400000US42021000200	237.605	149.36	0
1400000US42049000200	0	1307.225	0
1400000US42071000200	737.182	407.63	41.481
1400000US42073000200	0	357.843	0
1400000US42075000200	1012.79	1223.901	0.162
1400000US42081000200	469.827	632.07	0
1400000US42101000200	556.042	126.953	0
1400000US42107000200	407	497	0
1400000US42133000200	224.271	50.216	0
1400000US42011000300	786.993	160.571	18.755
1400000US42021000300	408.897	238.824	0
1400000US42049000300	0	722.851	0
1400000US42071000300	1188.709	532.276	86.283
1400000US42073000300	0	642.362	0
1400000US42075000300	484.53	264.281	6.162
1400000US42081000300	798.777	850.788	0
1400000US42101000300	1681.646	470.928	0
1400000US42107000300	962	1801	0
1400000US42133000300	84.586	24.121	0
1400000US42011000400	803.878	211.27	26.294
1400000US42049000400	0	511.959	0
1400000US42071000400	697.964	243.478	42.046
1400000US42073000400	0	399.57	0
1400000US42077000400	611.464	240.792	20.096
1400000US42081000400	1050.268	837.261	0
1400000US42107000400	474	795	0
1400000US42133000400	411.79	221.935	0
1400000US42075000401	1149.779	807.316	0
1400000US42101000401	811.567	201.524	0
1400000US42075000402	657.464	546.163	0
1400000US42101000402	1377.543	382.568	0
1400000US42011000500	840.529	215.004	20.272
1400000US42021000500	438.45	373.511	0
1400000US42049000500	0	50.797	0
1400000US42071000500	1323.393	415.21	53.354
1400000US42075000500	489.9	715.668	0
1400000US42077000500	4.464	0.792	0.096
1400000US42081000500	324.834	291.452	0
1400000US42101000500	979.692	226.426	0
1400000US42107000500	701	684	0
1400000US42133000500	213.445	54.87	0
1400000US42011000600	980.286	363.882	31.138
1400000US42021000600	395.804	430.337	0
1400000US42049000600	0	299.297	0
1400000US42071000600	868.026	254.222	32.295
1400000US42073000600	0	141.243	0
1400000US42077000600	1231.089	599.351	62.553
1400000US42081000600	873.282	1066.688	0
1400000US42101000600	588.332	135.017	0
1400000US42133000600	572.48	189.822	0
1400000US42107000601	569.6102	526.8432	0
1400000US42107000602	80.4102	53.6432	0
1400000US42011000700	1060.551	250.277	25.918
1400000US42021000700	567.975	686.407	0
1400000US42049000700	0	560.08	0
1400000US42071000700	737.834	245.895	43.252
1400000US42073000700	0	499.623	0
1400000US42077000700	872.073	176.927	23.74
1400000US42101000700	1599.498	387.715	0
1400000US42107000700	735	819	0
1400000US42133000700	125.874	15.516	0
1400000US42011000800	396.314	80.815	12.116
1400000US42049000800	0	459.853	0
1400000US42071000800	627.437	107.169	12.031
1400000US42073000800	0	1053.993	0
1400000US42077000800	872.073	176.927	23.74
1400000US42081000800	249.78	168.099	0
1400000US42107000800	661	992	0
1400000US42133000800	596.364	265.772	0
1400000US42101000801	993.316	215.8	0
1400000US42101000803	1713.27	436.771	0
1400000US42101000804	1086.71	327.884	0
1400000US42011000900	760.738	174.1	24.324
1400000US42049000900	0	372.726	0
1400000US42071000900	934.377	131	18.625
1400000US42073000900	0	351.343	0
1400000US42077000900	271.816	50.687	9.469
1400000US42081000900	299.199	522.763	0
1400000US42107000900	1012	1734	0
1400000US42133000900	14.364	2.772	0
1400000US42101000901	1009.302	232.797	0
1400000US42101000902	1172.642	231.662	0
