GEO_ID	pop_change	non_white_change	unemploy_change	edu_change	med_income_change	mean_income_change	%change in diff between mean and median
1400000US42001030101	0.00	0.60	2.90	0.90	0.06	0.17	1.51
1400000US42001030102	0.02	-1.10	-1.30	7.80	0.07	-0.01	-0.29
1400000US42001030200	-0.08	2.60	1.70	0.80	-0.02	0.06	0.48
1400000US42001030300	0.08	-6.20	0.70	-0.60	0.19	0.15	-0.06
1400000US42001030400	0.02	-3.90	0.90	4.50	0.06	0.11	0.42
1400000US42001030500	0.02	2.80	1.90	0.40	0.05	0.04	0.00
1400000US42001030600	0.00	-5.40	3.10	0.40	-0.03	-0.07	-0.30
1400000US42001030700	-0.01	2.30	-1.50	1.50	0.20	0.19	0.13
1400000US42001030800	-0.03	-1.50	0.10	2.20	0.12	0.11	0.11
1400000US42001030900	0.08	3.90	-0.80	3.40	0.15	0.16	0.23
1400000US42001031000	0.18	0.80	0.20	17.50	0.09	0.03	-0.90
1400000US42001031101	-0.07	4.80	1.30	1.80	0.01	0.11	0.85
1400000US42001031102	0.11	6.30	-1.70	6.00	-0.03	0.10	-21.65
1400000US42001031201	0.01	5.20	3.30	11.60	0.15	0.20	0.47
1400000US42001031202	0.02	-0.80	-0.50	5.90	0.04	0.14	2.09
1400000US42001031203	0.01	-1.60	4.30	3.90	0.11	0.11	0.10
1400000US42001031300	0.00	-1.50	1.30	3.30	0.11	0.01	-0.53
1400000US42001031401	0.02	3.60	0.10	-6.30	0.28	0.37	1.03
1400000US42001031402	-0.02	-0.60	0.20	3.10	0.16	0.01	-0.34
1400000US42001031501	-0.01	2.00	1.30	-15.50	0.04	0.04	0.04
1400000US42001031502	-0.01	10.90	3.60	-4.60	-0.19	-0.06	0.36
1400000US42001031600	0.03	2.60	0.40	13.10	0.05	0.07	0.18
1400000US42001031700	-0.07	-0.70	-0.40	-1.90	0.02	0.04	0.20
1400000US42003010300	0.39	9.60	-7.10	-4.10	2.69	1.12	-0.54
1400000US42003020100	-0.24	-26.80	2.30	32.50	0.62	0.44	0.20
1400000US42003020300	0.48	-25.40	2.80	17.60	0.54	0.92	1.67
1400000US42003030500	-0.04	6.90	0.10	-11.40	0.23	0.11	-0.02
1400000US42003040200	-0.29	-0.70	14.00	-3.60	-0.17	-0.05	0.66
1400000US42003040400	0.05	9.10	3.10	18.90	0.28	-0.02	-0.23
1400000US42003040500	0.32	-3.90	-2.20	22.90	0.21	0.19	0.16
1400000US42003040600	-0.01	1.80	-2.00	1.40	0.08	0.36	1.92
1400000US42003040900	0.11	2.30	-9.80	12.20	0.01	0.04	0.10
1400000US42003050100	0.14	-10.00	-1.10	-1.80	-0.25	0.07	1.81
1400000US42003050600	-0.12	-0.30	7.70	-8.80	-0.26	-0.10	0.42
1400000US42003050900	0.37	0.00	21.30	-22.90	-0.18	-0.40	-0.74
1400000US42003051000	-0.15	2.60	-14.10	5.30	0.13	0.16	0.23
1400000US42003051100	-0.67	19.20	37.40	-3.30	-0.10	-0.10	-0.09
1400000US42003060300	-0.01	7.30	0.70	8.20	0.49	0.62	1.17
1400000US42003060500	0.00	4.30	6.40	8.30	0.13	0.11	0.07
1400000US42003070300	-0.12	-2.60	-0.30	-4.90	-0.04	0.19	0.47
1400000US42003070500	-0.03	10.30	0.20	4.00	0.06	0.23	0.80
1400000US42003070600	0.07	1.00	-0.20	-5.80	0.12	-0.17	-0.51
1400000US42003070800	-0.05	-5.50	-11.30	6.70	0.07	-0.16	-0.44
1400000US42003070900	-0.02	0.20	-2.90	-0.90	-0.09	0.04	0.17
1400000US42003080200	-0.01	5.50	-2.50	15.90	0.11	0.25	2.00
1400000US42003080400	0.09	12.40	-2.60	17.30	-0.12	0.11	2.55
1400000US42003080600	-0.09	-11.80	2.90	10.00	0.31	0.43	0.78
1400000US42003080700	0.30	6.50	-6.30	10.00	0.66	0.25	-0.45
1400000US42003080900	-0.09	-3.20	-0.20	18.60	0.43	0.32	-0.15
1400000US42003090100	0.02	-13.50	-7.70	32.50	1.04	0.80	0.21
1400000US42003090200	0.07	0.30	-3.50	4.00	0.48	0.38	-0.09
1400000US42003090300	-0.05	-7.20	3.40	23.10	0.61	0.39	-0.09
1400000US42003100500	0.10	-1.70	-4.20	4.50	-0.16	-0.02	0.66
1400000US42003101100	0.09	-10.80	-7.00	23.40	0.30	0.29	0.29
1400000US42003101400	-0.12	1.80	-1.70	5.90	0.05	0.00	-0.16
1400000US42003101600	0.05	4.10	-6.70	-4.20	0.11	0.85	2.74
1400000US42003101700	0.05	-9.40	0.00	5.50	0.29	0.05	-0.41
1400000US42003101800	-0.12	-3.20	-2.90	-0.80	0.05	0.09	0.26
1400000US42003110200	0.13	2.40	3.00	-6.90	0.03	0.21	0.79
1400000US42003110600	-0.05	-23.00	-5.50	6.00	-0.17	0.10	5.00
1400000US42003111300	-0.13	-14.10	-10.00	17.70	0.17	0.49	2.30
1400000US42003111400	-0.09	-9.80	-11.20	8.20	0.12	0.47	1.67
1400000US42003111500	-0.05	-1.70	0.40	-0.40	0.27	0.01	-0.37
1400000US42003120300	0.00	3.00	20.30	-7.60	-0.41	-0.20	1.04
1400000US42003120400	0.06	1.50	11.90	0.30	-0.28	-0.42	-0.61
1400000US42003120700	-0.13	-0.60	-7.50	-2.20	0.33	0.10	-0.20
1400000US42003120800	-0.04	-7.30	16.10	-6.80	-0.16	0.02	1.99
1400000US42003130100	0.02	0.00	19.40	1.20	-0.17	-0.05	0.34
1400000US42003130200	0.23	-1.60	7.40	-6.60	-0.22	0.02	1.50
1400000US42003130300	0.48	-5.70	25.50	-7.60	-0.20	-0.21	-0.22
1400000US42003130400	-0.21	-1.90	8.70	5.00	-0.12	-0.15	-0.35
1400000US42003130600	-0.04	-2.30	7.20	-1.00	-0.21	0.01	0.59
1400000US42003140100	-0.16	0.60	-6.10	2.30	0.12	0.20	0.35
1400000US42003140200	-0.12	-8.70	-2.30	-1.10	0.57	0.37	0.23
1400000US42003140300	0.05	3.70	-2.80	3.80	0.39	0.32	0.20
1400000US42003140400	-0.03	5.10	-1.00	12.50	0.00	0.18	1.27
1400000US42003140500	-0.15	-17.90	3.10	14.90	0.40	0.07	-0.56
1400000US42003140600	-0.04	-5.20	-0.50	7.20	-0.05	0.23	1.29
1400000US42003140800	0.04	3.20	-1.70	0.60	0.11	-0.04	-0.29
1400000US42003141000	0.09	-6.40	5.30	15.50	0.05	0.03	-0.02
1400000US42003141100	-0.01	2.50	-5.50	0.50	-0.04	0.10	-3.13
1400000US42003141300	0.13	8.40	-2.10	-3.10	0.03	0.09	0.24
1400000US42003141400	0.28	8.10	2.00	5.10	0.22	0.37	0.64
1400000US42003151600	0.02	0.30	-1.70	-0.90	0.36	0.22	-0.38
1400000US42003151700	0.09	0.60	-0.10	4.20	0.21	0.34	1.12
1400000US42003160800	0.06	-15.60	-3.40	3.80	0.14	0.21	0.46
1400000US42003160900	0.11	1.50	2.40	10.30	0.32	0.33	0.34
1400000US42003170200	-0.21	-6.20	3.90	9.00	-0.04	0.08	0.49
1400000US42003170600	-0.13	2.60	-6.20	-5.10	0.55	0.03	-0.37
1400000US42003180300	0.14	26.30	8.60	-0.20	0.06	0.03	-0.10
1400000US42003180700	-0.05	6.50	2.00	2.70	-0.10	0.03	0.66
1400000US42003190300	0.02	4.90	-7.00	-5.50	0.25	0.04	-0.35
1400000US42003191100	0.04	-4.70	1.30	-3.00	0.18	0.04	-0.27
1400000US42003191400	-0.08	2.20	2.00	10.90	0.05	0.03	-0.01
1400000US42003191500	-0.08	16.40	5.70	19.50	0.08	0.09	0.15
1400000US42003191600	0.06	-2.70	-0.20	1.30	0.22	0.29	0.69
1400000US42003191700	-0.02	2.40	2.00	7.40	0.23	0.28	0.43
1400000US42003191800	-0.03	3.70	-1.10	1.80	0.24	0.24	0.27
1400000US42003191900	-0.20	16.70	-2.70	3.70	-0.20	-0.06	0.78
1400000US42003192000	0.06	1.50	-1.10	3.70	0.15	0.20	0.48
1400000US42003202200	0.19	15.20	5.80	3.60	-0.02	-0.08	-0.44
1400000US42003202300	-0.15	11.10	-0.40	7.70	0.06	0.15	0.78
