GEO_ID	HC01_VC03	HC01_VC03	TotalPop_1015	StDevPop_1015
Id	2010	2015		
1400000US42001030101	2597	2586	-0.004235657	-0.138590319
1400000US42001030102	5709	5809	0.017516202	-0.001196165
1400000US42001030200	5656	5198	-0.080975955	-0.623315249
1400000US42001030300	3932	4258	0.082909461	0.411855951
1400000US42001030400	5661	5796	0.023847377	0.038794271
1400000US42001030500	3676	3756	0.021762786	0.025627091
1400000US42001030600	4917	4937	0.004067521	-0.086143858
1400000US42001030700	6647	6574	-0.010982398	-0.181205658
1400000US42001030800	7315	7132	-0.025017088	-0.269854834
1400000US42001030900	7223	7826	0.083483317	0.415480676
1400000US42001031000	1623	1912	0.178065311	1.012901477
1400000US42001031101	5297	4929	-0.069473287	-0.550659421
1400000US42001031102	3024	3352	0.108465608	0.573279638
1400000US42001031201	3632	3680	0.013215859	-0.028358995
1400000US42001031202	2653	2712	0.022238975	0.028634908
1400000US42001031203	3143	3163	0.006363347	-0.071642426
1400000US42001031300	4428	4442	0.003161698	-0.091865425
1400000US42001031401	4107	4208	0.02459216	0.043498642
1400000US42001031402	2038	2004	-0.016683023	-0.217213269
1400000US42001031501	3447	3401	-0.013344938	-0.19612848
1400000US42001031502	4246	4214	-0.007536505	-0.159439906
1400000US42001031600	6903	7119	0.031290743	0.085809794
1400000US42001031700	2965	2759	-0.069477234	-0.550684356
1400000US42003010300	4512	6294	0.394946809	2.382818861
1400000US42003020100	5325	4060	-0.237558685	-1.612359532
1400000US42003020300	504	747	0.482142857	2.933586835
1400000US42003030500	2308	2225	-0.035961872	-0.338986823
1400000US42003040200	2435	1717	-0.29486653	-1.974340674
1400000US42003040400	2004	2098	0.046906188	0.184443698
1400000US42003040500	2739	3629	0.324936108	1.940600983
1400000US42003040600	2211	2193	-0.008141113	-0.16325887
1400000US42003040900	2643	2921	0.105183504	0.552548443
1400000US42003050100	1541	1760	0.142115509	0.785826973
1400000US42003050600	2135	1884	-0.117564403	-0.85442372
1400000US42003050900	988	1349	0.365384615	2.196091258
1400000US42003051000	2321	1965	-0.153382163	-1.080664191
1400000US42003051100	984	327	-0.667682927	-4.329210361
1400000US42003060300	2591	2572	-0.007333076	-0.158154961
1400000US42003060500	1332	1331	-0.000750751	-0.116578146
1400000US42003070300	2272	2000	-0.11971831	-0.868028728
1400000US42003070500	3197	3106	-0.028464185	-0.29162819
1400000US42003070600	1979	2118	0.070237494	0.331814323
1400000US42003070800	1946	1850	-0.049331963	-0.423438105
1400000US42003070900	4587	4488	-0.021582734	-0.248161966
1400000US42003080200	1723	1710	-0.00754498	-0.159493436
1400000US42003080400	1419	1551	0.093023256	0.475739056
1400000US42003080600	2253	2055	-0.087882823	-0.666942017
1400000US42003080700	1412	1840	0.303116147	1.802776669
1400000US42003080900	1864	1701	-0.087446352	-0.664185078
1400000US42003090100	1758	1794	0.020477816	0.017510665
1400000US42003090200	2796	2981	0.066165951	0.3060967
1400000US42003090300	1744	1652	-0.052752294	-0.445042393
1400000US42003100500	2057	2256	0.096742829	0.499233492
1400000US42003101100	2522	2754	0.091990484	0.469215621
1400000US42003101400	3699	3262	-0.118140038	-0.85805968
1400000US42003101600	945	990	0.047619048	0.18894643
1400000US42003101700	1471	1539	0.046227056	0.180154012
1400000US42003101800	2851	2505	-0.121360926	-0.878404203
1400000US42003110200	3771	4260	0.129673827	0.70723992
1400000US42003110600	2643	2523	-0.045402951	-0.398620766
1400000US42003111300	2882	2494	-0.13462873	-0.962209394
1400000US42003111400	1574	1437	-0.08703939	-0.661614531
1400000US42003111500	3206	3043	-0.050842171	-0.432977231
1400000US42003120300	1777	1785	0.00450197	-0.083399692
1400000US42003120400	695	734	0.056115108	0.242611224
1400000US42003120700	980	850	-0.132653061	-0.949730215
1400000US42003120800	947	907	-0.042238648	-0.37863366
1400000US42003130100	1917	1948	0.016171101	-0.00969241
1400000US42003130200	1156	1423	0.230968858	1.347063171
1400000US42003130300	874	1294	0.480549199	2.923520602
1400000US42003130400	1238	982	-0.206785137	-1.417980486
1400000US42003130600	2988	2859	-0.043172691	-0.384533476
1400000US42003140100	6316	5306	-0.159911336	-1.121905275
1400000US42003140200	2637	2321	-0.119833144	-0.868754069
1400000US42003140300	3524	3709	0.052497162	0.219758714
1400000US42003140400	2406	2325	-0.033665835	-0.324484064
1400000US42003140500	2027	1732	-0.145535274	-1.031099844
1400000US42003140600	3225	3084	-0.04372093	-0.387996394
1400000US42003140800	4518	4687	0.037405932	0.124435972
1400000US42003141000	945	1033	0.093121693	0.476360829
1400000US42003141100	1357	1345	-0.008843036	-0.167692522
1400000US42003141300	4802	5411	0.126822157	0.689227544
1400000US42003141400	4631	5940	0.282660333	1.673568891
1400000US42003151600	2582	2621	0.01510457	-0.016429079
1400000US42003151700	4661	5069	0.087534864	0.441071997
1400000US42003160800	2634	2803	0.064160972	0.293432382
1400000US42003160900	2974	3314	0.114324143	0.610284674
1400000US42003170200	3764	2978	-0.208820404	-1.43083611
1400000US42003170600	2049	1780	-0.131283553	-0.941079808
1400000US42003180300	2239	2558	0.142474319	0.788093369
1400000US42003180700	2378	2260	-0.049621531	-0.42526714
1400000US42003190300	1950	1988	0.019487179	0.011253378
1400000US42003191100	2432	2522	0.037006579	0.121913486
1400000US42003191400	2812	2586	-0.080369844	-0.619486789
1400000US42003191500	2077	1909	-0.080885893	-0.622746381
1400000US42003191600	4198	4458	0.061934254	0.279367471
1400000US42003191700	3759	3677	-0.021814312	-0.249624716
1400000US42003191800	5420	5261	-0.029335793	-0.297133645
1400000US42003191900	2434	1952	-0.198027938	-1.362666223
1400000US42003192000	3417	3620	0.059408838	0.263415849
1400000US42003202200	2445	2910	0.190184049	1.089448669
1400000US42003202300	4558	3858	-0.15357613	-1.08188937
1400000US42003210700	2139	1944	-0.091164095	-0.687667954
1400000US42003220600	1580	1514	-0.041772152	-0.375687066
1400000US42003240600	2637	2283	-0.134243458	-0.959775852
1400000US42003241200	1100	840	-0.236363636	-1.604811085
1400000US42003250300	1280	1378	0.0765625	0.3717658
1400000US42003250700	894	803	-0.101789709	-0.754783929
1400000US42003250900	1265	1270	0.003952569	-0.086869943
1400000US42003260200	2500	2038	-0.1848	-1.279112845
1400000US42003260700	2087	1733	-0.169621466	-1.183238658
1400000US42003260900	1480	1545	0.043918919	0.165574816
1400000US42003261200	1157	1191	0.029386344	0.073780785
1400000US42003261400	2109	1883	-0.107159791	-0.788703691
1400000US42003261500	1892	1515	-0.199260042	-1.370448729
1400000US42003262000	2484	2456	-0.011272142	-0.183035804
1400000US42003270100	2923	2523	-0.136845706	-0.976212777
1400000US42003270300	2399	2091	-0.128386828	-0.922782839
1400000US42003270400	1098	1034	-0.058287796	-0.480007021
1400000US42003270800	2920	2807	-0.03869863	-0.356273373
1400000US42003271500	3599	3026	-0.159210892	-1.117480966
1400000US42003281400	1989	2519	0.266465561	1.571275704
1400000US42003281500	1553	1445	-0.06954282	-0.551098625
1400000US42003290100	2107	2217	0.052206929	0.217925476
1400000US42003290200	3971	4016	0.011332158	-0.040257265
1400000US42003290400	4577	3889	-0.150316801	-1.061302041
1400000US42003300100	3871	4255	0.099199173	0.514748824
1400000US42003310200	3431	3499	0.019819295	0.013351161
1400000US42003310300	1078	973	-0.097402597	-0.727073032
1400000US42003320400	2100	2168	0.032380952	0.092696027
1400000US42003320600	2354	2270	-0.035683942	-0.3372313
1400000US42003320700	1891	1514	-0.199365415	-1.37111431
1400000US42003401100	4715	4667	-0.010180276	-0.176139106
1400000US42003401200	3271	3057	-0.065423418	-0.525078697
1400000US42003401300	2491	2749	0.103572862	0.542374936
1400000US42003402000	3274	3244	-0.009163103	-0.169714205
1400000US42003403500	4568	4507	-0.013353765	-0.19618424
1400000US42003404000	1357	1392	0.025792189	0.051078544
1400000US42003405000	1120	1103	-0.015178571	-0.207710505
1400000US42003406000	2371	2338	-0.013918178	-0.199749314
1400000US42003407001	5058	5018	-0.007908264	-0.161788098
1400000US42003407002	6558	6871	0.047727966	0.189634405
1400000US42003408001	4629	5214	0.126377187	0.68641692
1400000US42003408002	6053	6228	0.028911284	0.070780098
1400000US42003409000	10741	12224	0.138069081	0.760267981
1400000US42003410000	1138	1202	0.056239016	0.24339388
1400000US42003411000	6699	7571	0.130168682	0.710365641
1400000US42003412001	7998	8700	0.087771943	0.442569492
1400000US42003412002	4987	5362	0.075195508	0.363131289
1400000US42003413100	6216	7223	0.162001287	0.911434149
1400000US42003413201	3840	3682	-0.041145833	-0.371730967
1400000US42003413202	2752	2686	-0.023982558	-0.263320295
1400000US42003413300	4774	4744	-0.006284039	-0.151528786
1400000US42003413400	4425	4258	-0.037740113	-0.350218964
1400000US42003413500	6295	6258	-0.005877681	-0.148962054
1400000US42003414101	5549	5253	-0.053342945	-0.4487732
1400000US42003414102	6667	7488	0.123143843	0.665993717
1400000US42003414200	5839	5735	-0.017811269	-0.224339762
1400000US42003415001	4498	4887	0.086482881	0.434427221
1400000US42003415002	2612	2405	-0.079249617	-0.612410954
1400000US42003416000	1493	1643	0.100468855	0.52276868
1400000US42003417100	2205	2154	-0.023129252	-0.257930442
1400000US42003417200	1250	1253	0.0024	-0.096676641
