USCongDistrict	CLINTON	TRUMP	OTHERS_USP	MCGINTY	TOOMEY	OTHERS_USS	DEM_USC	REP_USC	OTHERS_USC	margin_usp	margin_uss	margin_usc
01	250924	57521	7160	240011	60919	3841	245791	53219		-0.612800811	-0.587628088	-0.644031972
02	334322	28067	7367	319789	38264	3443	349487	45672		-0.828262422	-0.778777635	-0.768842415
03	113572	197996	12829	115652	189812	16292		244893	283	0.260249016	0.230485212	0.998845727
04	125759	198572	14354	124231	198110	15828	113372	220628		0.214987378	0.218467689	0.321125749
05	105129	195700	13268	108073	186017	18452	100556	205140		0.288353598	0.249387282	0.342117659
06	178170	176401	15637	165236	192578	11868	155000	207469		-0.004778395	0.073960864	0.144754448
07	190599	181455	14285	172886	204279	7378	153824	225678		-0.023668333	0.081637164	0.189337606
08	185685	186607	14733	175064	200413	6495	173555	207263		0.002382275	0.066363503	0.088514724
09	83433	214262	9308	92409	195152	17857	107985	186580		0.42614893	0.33640126	0.266817171
10	93282	204201	11632	97832	189963	18788	89823	211282	6	0.358827621	0.300509161	0.403369522
11	115601	191677	12089	119962	178146	16510	113800	199421		0.238208707	0.184935382	0.273356512
12	137315	212133	12637	139257	203843	18400	137353	221851		0.20663104	0.178661134	0.235236801
13	217268	105558	9819	205533	116019	4170	239316			-0.335823475	-0.274817175	-1
14	231678	107277	12134	229068	103376	16376	255293	87999		-0.354328959	-0.360334843	-0.487322746
15	147975	173100	13146	141591	175678	12146	124128	190618	11727	0.075174809	0.103477377	0.203661559
16	140186	161763	15070	135931	168149	12691	134586	168669	10518	0.068062167	0.101707543	0.108623113
17	132284	163172	10251	139098	143853	16884	157734	135430		0.101037922	0.015858722	-0.076080283
18	142576	214916	12678	143386	207135	17797		293684		0.195423724	0.173081413	1
