GEO_ID	TOTALPOP_2010	TOTALPOP_2015	TOTALPOP_CHANGE	PERCNONWHITE_2010	PERCNONWHITE_2015	PERCNONWHITE_CHANGE	UNEMPLOYMENT_2010	UNEMPLOYMENT_2015	UNEMPLOYMENT_CHANGE	COLLEGE_2010	COLLEGE_2015	COLLEGE_CHANGE	MEDIANINC_2010	MEDIANINC_2015	MEDIANINC_CHANGE
1400000US42001030101	2597	2586	-0.0042	4.6	5.2	0.6	3.4	6.3	2.9	18.8	19.7	0.9	70729	74667	0.0557
1400000US42001030102	5709	5809	0.0175	6.5	5.4	-1.1	7.2	5.9	-1.3	15.7	23.5	7.8	62372	66806	0.0711
1400000US42001030200	5656	5198	-0.081	15.3	17.9	2.6	5.3	7	1.7	11.8	12.6	0.8	52424	51573	-0.0162
1400000US42001030300	3932	4258	0.0829	17.1	10.9	-6.2	5	5.7	0.7	17.4	16.8	-0.6	52731	62757	0.1901
1400000US42001030400	5661	5796	0.0238	11.4	7.5	-3.9	2.9	3.8	0.9	18.2	22.7	4.5	57194	60478	0.0574
1400000US42001030500	3676	3756	0.0218	13.6	16.4	2.8	5	6.9	1.9	17.6	18	0.4	52039	54435	0.046
1400000US42001030600	4917	4937	0.0041	17.8	12.4	-5.4	4.6	7.7	3.1	20.7	21.1	0.4	60964	59286	-0.0275
1400000US42001030700	6647	6574	-0.011	9	11.3	2.3	8.9	7.4	-1.5	14	15.5	1.5	49135	59058	0.202
1400000US42001030800	7315	7132	-0.025	8.7	7.2	-1.5	4.9	5	0.1	13.6	15.8	2.2	56649	63164	0.115
1400000US42001030900	7223	7826	0.0835	11.2	15.1	3.9	5.4	4.6	-0.8	13.3	16.7	3.4	48582	55773	0.148
1400000US42001031000	1623	1912	0.1781	0	0.8	0.8	3.3	3.5	0.2	6.6	24.1	17.5	58994	64356	0.0909
1400000US42001031101	5297	4929	-0.0695	3.6	8.4	4.8	3.4	4.7	1.3	11.5	13.3	1.8	43658	44310	0.0149
1400000US42001031102	3024	3352	0.1085	0.8	7.1	6.3	3.9	2.2	-1.7	15.8	21.8	6	74141	71711	-0.0328
1400000US42001031201	3632	3680	0.0132	1.4	6.6	5.2	3.5	6.8	3.3	28.7	40.3	11.6	61630	70566	0.145
1400000US42001031202	2653	2712	0.0222	0.8	0	-0.8	3.9	3.4	-0.5	17.4	23.3	5.9	72667	75833	0.0436
1400000US42001031203	3143	3163	0.0064	4.1	2.5	-1.6	3.8	8.1	4.3	16.7	20.6	3.9	66563	74000	0.1117
1400000US42001031300	4428	4442	0.0032	6.6	5.1	-1.5	4	5.3	1.3	14.5	17.8	3.3	50568	55902	0.1055
1400000US42001031401	4107	4208	0.0246	10.9	14.5	3.6	3.6	3.7	0.1	36.2	29.9	-6.3	56776	72580	0.2784
1400000US42001031402	2038	2004	-0.0167	5.3	4.7	-0.6	7.6	7.8	0.2	27	30.1	3.1	54545	63500	0.1642
1400000US42001031501	3447	3401	-0.0133	14	16	2	5.6	6.9	1.3	52.1	36.6	-15.5	40833	42321	0.0364
1400000US42001031502	4246	4214	-0.0075	19.9	30.8	10.9	6.8	10.4	3.6	31.7	27.1	-4.6	41726	33661	-0.1933
1400000US42001031600	6903	7119	0.0313	3.4	6	2.6	3.9	4.3	0.4	20.8	33.9	13.1	72159	75687	0.0489
1400000US42001031700	2965	2759	-0.0695	7.9	7.2	-0.7	4.2	3.8	-0.4	20.8	18.9	-1.9	54338	55214	0.0161
1400000US42003010300	4512	6294	0.3949	22.8	32.4	9.6	17.6	10.5	-7.1	16.5	12.4	-4.1	11125	41071	2.6918
1400000US42003020100	5325	4060	-0.2376	50.2	23.4	-26.8	4.7	7	2.3	31	63.5	32.5	41795	67750	0.621
1400000US42003020300	504	747	0.4821	42.3	16.9	-25.4	0	2.8	2.8	64.3	81.9	17.6	61442	94643	0.5404
1400000US42003030500	2308	2225	-0.036	84	90.9	6.9	22.9	23	0.1	21.6	10.2	-11.4	14626	17997	0.2305
1400000US42003040200	2435	1717	-0.2949	64.8	64.1	-0.7	8	22	14	36.5	32.9	-3.6	23233	19214	-0.173
1400000US42003040400	2004	2098	0.0469	36.1	45.2	9.1	2.6	5.7	3.1	65.1	84	18.9	20406	26196	0.2837
1400000US42003040500	2739	3629	0.3249	21	17.1	-3.9	8.9	6.7	-2.2	44.5	67.4	22.9	14473	17441	0.2051
1400000US42003040600	2211	2193	-0.0081	22.7	24.5	1.8	6.1	4.1	-2	28.6	30	1.4	19730	21277	0.0784
1400000US42003040900	2643	2921	0.1052	26.7	29	2.3	15.8	6	-9.8	29.3	41.5	12.2	26725	26964	0.0089
1400000US42003050100	1541	1760	0.1421	97.7	87.7	-10	18.9	17.8	-1.1	11.9	10.1	-1.8	23500	17692	-0.2471
1400000US42003050600	2135	1884	-0.1176	85.7	85.4	-0.3	10.3	18	7.7	30	21.2	-8.8	35290	26250	-0.2562
1400000US42003050900	988	1349	0.3654	98.4	98.4	0	20	41.3	21.3	26.4	3.5	-22.9	14539	11975	-0.1764
1400000US42003051000	2321	1965	-0.1534	53	55.6	2.6	22.6	8.5	-14.1	13.1	18.4	5.3	12818	14544	0.1347
1400000US42003051100	984	327	-0.6677	80.8	100	19.2	14.8	52.2	37.4	3.3	0	-3.3	10902	9773	-0.1036
1400000US42003060300	2591	2572	-0.0073	20.7	28	7.3	9.5	10.2	0.7	27.6	35.8	8.2	25194	37431	0.4857
1400000US42003060500	1332	1331	-0.0008	8.8	13.1	4.3	1.2	7.6	6.4	23.6	31.9	8.3	32875	37273	0.1338
1400000US42003070300	2272	2000	-0.1197	19.3	16.7	-2.6	3.1	2.8	-0.3	78.4	73.5	-4.9	57396	54821	-0.0449
1400000US42003070500	3197	3106	-0.0285	18.3	28.6	10.3	3	3.2	0.2	84.1	88.1	4	48521	51250	0.0562
1400000US42003070600	1979	2118	0.0702	20.9	21.9	1	4	3.8	-0.2	85.2	79.4	-5.8	42344	47336	0.1179
1400000US42003070800	1946	1850	-0.0493	39	33.5	-5.5	14.4	3.1	-11.3	74.7	81.4	6.7	48333	51703	0.0697
1400000US42003070900	4587	4488	-0.0216	46.8	47	0.2	7.4	4.5	-2.9	77.5	76.6	-0.9	37128	33929	-0.0862
1400000US42003080200	1723	1710	-0.0075	7.1	12.6	5.5	5.4	2.9	-2.5	25.9	41.8	15.9	36200	40144	0.109
1400000US42003080400	1419	1551	0.093	12	24.4	12.4	5.3	2.7	-2.6	40.9	58.2	17.3	37321	32837	-0.1201
1400000US42003080600	2253	2055	-0.0879	22.9	11.1	-11.8	2.9	5.8	2.9	57.6	67.6	10	39330	51509	0.3097
1400000US42003080700	1412	1840	0.3031	36.1	42.6	6.5	10.2	3.9	-6.3	61.3	71.3	10	22252	36944	0.6603
1400000US42003080900	1864	1701	-0.0874	21.7	18.5	-3.2	5.3	5.1	-0.2	39.2	57.8	18.6	34815	49750	0.429
1400000US42003090100	1758	1794	0.0205	29.2	15.7	-13.5	12.6	4.9	-7.7	13.7	46.2	32.5	24840	50781	1.0443
1400000US42003090200	2796	2981	0.0662	16.1	16.4	0.3	5.9	2.4	-3.5	33.8	37.8	4	36315	53724	0.4794
1400000US42003090300	1744	1652	-0.0528	19.7	12.5	-7.2	10.8	14.2	3.4	12.9	36	23.1	20978	33816	0.612
1400000US42003100500	2057	2256	0.0967	73.9	72.2	-1.7	10.2	6	-4.2	32.2	36.7	4.5	49044	41051	-0.163
1400000US42003101100	2522	2754	0.092	31.2	20.4	-10.8	11.4	4.4	-7	17.1	40.5	23.4	32125	41615	0.2954
1400000US42003101400	3699	3262	-0.1181	17.1	18.9	1.8	6	4.3	-1.7	34.3	40.2	5.9	43600	45761	0.0496
1400000US42003101600	945	990	0.0476	94.4	98.5	4.1	22.1	15.4	-6.7	17.2	13	-4.2	24250	26905	0.1095
1400000US42003101700	1471	1539	0.0462	85	75.6	-9.4	7.5	7.5	0	13.7	19.2	5.5	24878	32163	0.2928
1400000US42003101800	2851	2505	-0.1214	24.6	21.4	-3.2	6.5	3.6	-2.9	38.3	37.5	-0.8	53750	56556	0.0522
1400000US42003110200	3771	4260	0.1297	41.4	43.8	2.4	3.4	6.4	3	57.4	50.5	-6.9	46722	48011	0.0276
1400000US42003110600	2643	2523	-0.0454	41.5	18.5	-23	9.3	3.8	-5.5	64.9	70.9	6	81450	67411	-0.1724
