GEO_ID	DEM_USC	REP_USC	OTHERS_USC	DEM_2012	REP_2012	OTH_2012
1400000US42011000100	1066.589	181.661	20.433	983.733	165.291	41.587
1400000US42021000100	141.418	101.755	0	203.288	58.816	0
1400000US42049000100	0	289.946	0	394.099	119.042	25.345
1400000US42071000100	855.69	255.002	41.599	798.712	252.308	79.192
1400000US42073000100	0	1441.792	0	928.06	961.068	77.15
1400000US42075000100	742.475	772.441	0	660.532	720.738	0
1400000US42081000100	608.455	1058.979	0	545.284	1026.547	3.61
1400000US42101000100	1638.516	487.277	0	1336.837	423.547	0
1400000US42107000100	779	1668	0	951	1171	0
1400000US42133000100	490.667	115.931	0	446.354	79.779	36.491
1400000US42077000101	615.376	448.942	47.773	606.273	425.688	0
1400000US42077000102	425.526	214.406	17.032	421.8	194.195	0
1400000US42011000200	925	224	20	784	243	39
1400000US42021000200	237.605	149.36	0	210.976	52.034	0
1400000US42049000200	0	1307.225	0	1047.975	986.575	106.825
1400000US42071000200	737.182	407.63	41.481	683.371	391.702	72.868
1400000US42073000200	0	357.843	0	325.869	172.719	23.954
1400000US42075000200	1012.79	1223.901	0.162	865.771	1166.832	0
1400000US42081000200	469.827	632.07	0	408.022	654.857	1.782
1400000US42101000200	556.042	126.953	0	523	98.976	0
1400000US42107000200	407	497	0	461	344	0
1400000US42133000200	224.271	50.216	0	201.097	34.512	17.875
1400000US42011000300	786.993	160.571	18.755	669.369	135.841	39.9
1400000US42021000300	408.897	238.824	0	301.188	64.751	0
1400000US42049000300	0	722.851	0	967.689	352.349	65.275
1400000US42071000300	1188.709	532.276	86.283	928.592	466.347	96.664
1400000US42073000300	0	642.362	0	671.012	383.9	33.201
1400000US42075000300	484.53	264.281	6.162	445.716	212.542	0
1400000US42081000300	798.777	850.788	0	738.296	784.137	4.234
1400000US42101000300	1681.646	470.928	0	1534.132	412.726	56.432
1400000US42107000300	962	1801	0	1184	1348	0
1400000US42133000300	84.586	24.121	0	75.841	18.855	7.13
1400000US42011000400	803.878	211.27	26.294	657.959	219.501	44.574
1400000US42049000400	0	511.959	0	725.144	161.567	44.124
1400000US42071000400	697.964	243.478	42.046	591.836	247.205	66.862
1400000US42073000400	0	399.57	0	708.952	210.832	21.051
1400000US42077000400	611.464	240.792	20.096	607.528	182.64	0
1400000US42081000400	1050.268	837.261	0	1010.437	820.18	3.289
1400000US42107000400	474	795	0	592	546	0
1400000US42133000400	411.79	221.935	0	386.579	167.129	37.678
1400000US42075000401	1149.779	807.316	0	964.709	708.549	0
1400000US42101000401	811.567	201.524	0	602.083	155.075	14.517
