GEO_ID	USP_DEM_2016	USP_REP_2016	USP_OTH_2016	USS_DEM_2016	USS_REP_2016	USS_OTH_2016	USC_DEM_2016	USC_REP_2016	USC_OTH_2016	USP_DEM_2012	USP_REP_2012	USP_OTH_2012	USS_DEM_2012	USS_REP_2012	USS_OTH_2012	USC_DEM_2012	USC_REP_2012	USC_OTH_2012			TOTALPOP_2010	TOTALPOP_2015	TOTALPOP_CHANGE			CENSUSAREA	POPDEN_2010	POPDEN_2015	POPDEN_CHANGE		NONWHITE_2010	NONWHITE_2015	NONWHITE_CHANGE	UNEMPLOY_2010	UNEMPLOY_2015	UNEMPLOY_CHANGE	COLLEGE_2010	COLLEGE_2015	COLLEGE_CHANGE	INC_2010	INC_2015	INC_CHANGE
1400000US42001030101	297	1013	66	324	1002	61	273	1097	0	344	916	23	361	918	1	257	962	52	ok		2597	2586	-0.0042			21.14	122.8476821	122.3273415	-0.423565664		4.6	5.2	0.006	3.4	6.3	0.029	18.8	19.7	0.009	70729	74667	0.055677304
1400000US42001030102	664	1860	94	706	1761	149	609	1967	0	753	1623	40	819	1582	1	566	1698	105	ok		5709	5809	0.0175			26.314	216.9567531	220.7570115	1.75162024		6.5	5.4	-0.011	7.2	5.9	-0.013	15.7	23.5	0.078	62372	66806	0.071089591
1400000US42001030200	516	1688	89	530	1642	117	451	1796	0	553	1383	43	595	1358	1	401	1443	98	ok		5656	5198	-0.081			46.78	120.9063702	111.1158615	-8.097595423		15.3	17.9	0.026	5.3	7	0.017	11.8	12.6	0.008	52424	51573	-0.016233023
1400000US42001030300	467	1289	74	477	1262	91	419	1387	0	458	1123	25	496	1101	0	370	1140	81	ok		3932	4258	0.0829			43.15	91.1239861	98.67902665	8.290946076		17.1	10.9	-0.062	5	5.7	0.007	17.4	16.8	-0.006	52731	62757	0.190134835
1400000US42001030400	722	1815	100	751	1755	131	667	1920	0	871	1528	53	890	1539	4	680	1568	149	ok		5661	5796	0.0238			68.894	82.16970999	84.12924202	2.384737673		11.4	7.5	-0.039	2.9	3.8	0.009	18.2	22.7	0.045	57194	60478	0.05741861
1400000US42001030500	456	1196	53	451	1175	94	382	1314	0	498	1098	36	537	1073	4	381	1146	78	ok		3676	3756	0.0218			24.615	149.3398334	152.5898842	2.176278576		13.6	16.4	0.028	5	6.9	0.019	17.6	18	0.004	52039	54435	0.046042391
1400000US42001030600	801	1406	86	801	1379	120	687	1564	0	812	1235	32	836	1225	4	639	1295	108	ok		4917	4937	0.0041			34.297	143.3653089	143.9484503	0.406752097		17.8	12.4	-0.054	4.6	7.7	0.031	20.7	21.1	0.004	60964	59286	-0.027524441
1400000US42001030700	724	1893	104	771	1818	140	644	2029	0	861	1568	37	949	1498	4	695	1603	131	ok		6647	6574	-0.011			31.378	211.8363184	209.5098477	-1.098239772		9	11.3	0.023	8.9	7.4	-0.015	14	15.5	0.015	49135	59058	0.201953801
1400000US42001030800	871	2619	138	940	2464	206	811	2740	0	1015	2115	62	1115	2050	1	817	2172	155	ok		7315	7132	-0.025			22.477	325.443787	317.3021311	-2.501708813		8.7	7.2	-0.015	4.9	5	0.001	13.6	15.8	0.022	56649	63164	0.115006443
1400000US42001030900	975	2029	120	1020	1957	159	903	2199	0	1012	1635	41	1055	1616	2	827	1685	121	ok		7223	7826	0.0835			10.102	715.0069293	774.6980796	8.348331723		11.2	15.1	0.039	5.4	4.6	-0.008	13.3	16.7	0.034	48582	55773	0.148017784
