GEO_ID,pop_change,non_white_change,unemploy_change,edu_change,med_income_change,mean_income_change,%change in diff between mean and median
1400000US42001030101,-0.42%,0.6,2.9,0.9,5.57%,17.39%,151.05%
1400000US42001030102,1.75%,-1.1,-1.3,7.8,7.11%,-0.99%,-29.48%
1400000US42001030200,-8.10%,2.6,1.7,0.8,-1.62%,5.96%,47.76%
1400000US42001030300,8.29%,-6.2,0.7,-0.6,19.01%,15.28%,-6.33%
1400000US42001030400,2.38%,-3.9,0.9,4.5,5.74%,10.94%,42.45%
1400000US42001030500,2.18%,2.8,1.9,0.4,4.60%,3.62%,-0.03%
1400000US42001030600,0.41%,-5.4,3.1,0.4,-2.75%,-7.38%,-29.91%
1400000US42001030700,-1.10%,2.3,-1.5,1.5,20.20%,19.10%,13.07%
1400000US42001030800,-2.50%,-1.5,0.1,2.2,11.50%,11.41%,10.85%
1400000US42001030900,8.35%,3.9,-0.8,3.4,14.80%,15.80%,23.38%
1400000US42001031000,17.81%,0.8,0.2,17.5,9.09%,3.49%,-90.18%
1400000US42001031101,-6.95%,4.8,1.3,1.8,1.49%,11.14%,84.61%
1400000US42001031102,10.85%,6.3,-1.7,6,-3.28%,9.63%,-2164.55%
1400000US42001031201,1.32%,5.2,3.3,11.6,14.50%,20.37%,46.58%
1400000US42001031202,2.22%,-0.8,-0.5,5.9,4.36%,14.15%,209.47%
1400000US42001031203,0.64%,-1.6,4.3,3.9,11.17%,10.98%,9.99%
1400000US42001031300,0.32%,-1.5,1.3,3.3,10.55%,0.64%,-52.82%
1400000US42001031401,2.46%,3.6,0.1,-6.3,27.84%,36.70%,102.65%
1400000US42001031402,-1.67%,-0.6,0.2,3.1,16.42%,0.92%,-33.88%
1400000US42001031501,-1.33%,2,1.3,-15.5,3.64%,3.63%,3.59%
1400000US42001031502,-0.75%,10.9,3.6,-4.6,-19.33%,-6.09%,36.36%
1400000US42001031600,3.13%,2.6,0.4,13.1,4.89%,7.34%,18.04%
1400000US42001031700,-6.95%,-0.7,-0.4,-1.9,1.61%,3.53%,20.46%
1400000US42003010300,39.49%,9.6,-7.1,-4.1,269.18%,112.03%,-54.45%
1400000US42003020100,-23.76%,-26.8,2.3,32.5,62.10%,43.84%,20.40%
1400000US42003020300,48.21%,-25.4,2.8,17.6,54.04%,91.54%,166.69%
1400000US42003030500,-3.60%,6.9,0.1,-11.4,23.05%,11.27%,-2.27%
1400000US42003040200,-29.49%,-0.7,14,-3.6,-17.30%,-4.95%,65.85%
1400000US42003040400,4.69%,9.1,3.1,18.9,28.37%,-1.73%,-22.71%
1400000US42003040500,32.49%,-3.9,-2.2,22.9,20.51%,18.82%,15.87%
1400000US42003040600,-0.81%,1.8,-2,1.4,7.84%,36.19%,192.48%
1400000US42003040900,10.52%,2.3,-9.8,12.2,0.89%,3.75%,9.56%
1400000US42003050100,14.21%,-10,-1.1,-1.8,-24.71%,7.06%,180.53%
1400000US42003050600,-11.76%,-0.3,7.7,-8.8,-25.62%,-9.50%,41.92%
1400000US42003050900,36.54%,0,21.3,-22.9,-17.64%,-40.34%,-73.78%
1400000US42003051000,-15.34%,2.6,-14.1,5.3,13.47%,16.38%,22.62%
1400000US42003051100,-66.77%,19.2,37.4,-3.3,-10.36%,-9.77%,-8.54%
1400000US42003060300,-0.73%,7.3,0.7,8.2,48.57%,61.87%,117.27%
1400000US42003060500,-0.08%,4.3,6.4,8.3,13.38%,11.28%,7.05%
1400000US42003070300,-11.97%,-2.6,-0.3,-4.9,-4.49%,18.79%,47.31%
1400000US42003070500,-2.85%,10.3,0.2,4,5.62%,23.07%,79.72%
1400000US42003070600,7.02%,1,-0.2,-5.8,11.79%,-17.38%,-51.23%
1400000US42003070800,-4.93%,-5.5,-11.3,6.7,6.97%,-15.89%,-43.72%
1400000US42003070900,-2.16%,0.2,-2.9,-0.9,-8.62%,3.67%,16.62%
1400000US42003080200,-0.75%,5.5,-2.5,15.9,10.90%,25.32%,199.90%
1400000US42003080400,9.30%,12.4,-2.6,17.3,-12.01%,11.24%,255.00%
1400000US42003080600,-8.79%,-11.8,2.9,10,30.97%,42.87%,78.04%
1400000US42003080700,30.31%,6.5,-6.3,10,66.03%,25.03%,-44.59%
1400000US42003080900,-8.74%,-3.2,-0.2,18.6,42.90%,32.25%,-15.39%
1400000US42003090100,2.05%,-13.5,-7.7,32.5,104.43%,79.62%,21.32%
1400000US42003090200,6.62%,0.3,-3.5,4,47.94%,37.93%,-8.65%
1400000US42003090300,-5.28%,-7.2,3.4,23.1,61.20%,39.00%,-9.26%
1400000US42003100500,9.67%,-1.7,-4.2,4.5,-16.30%,-1.84%,66.46%
1400000US42003101100,9.20%,-10.8,-7,23.4,29.54%,29.46%,29.11%
1400000US42003101400,-11.81%,1.8,-1.7,5.9,4.96%,-0.06%,-16.01%
1400000US42003101600,4.76%,4.1,-6.7,-4.2,10.95%,84.57%,273.71%
1400000US42003101700,4.62%,-9.4,0,5.5,29.28%,4.91%,-41.47%
1400000US42003101800,-12.14%,-3.2,-2.9,-0.8,5.22%,8.76%,25.58%
