GEO_ID		CD114	USP_DEM_2016	USP_REP_2016	USP_OTH_2016	USP_MARGIN_2016	USS_DEM_2016	USS_REP_2016	USS_OTH_2016	USS_MARGIN_2016	USC_DEM_2016	USC_REP_2016	USC_OTH_2016	USC_MARGIN_2016	USP_DEM_2012	USP_REP_2012	USP_OTH_2012	USP_MARGIN_2012	USS_DEM_2012	USS_REP_2012	USS_OTH_2012	USS_MARGIN_2012	USC_DEM_2012	USC_REP_2012	USC_OTH_2012	USC_MARGIN_2012	USP_MARGIN_CHANGE	USS_MARGIN_CHANGE	USC_MARGIN_CHANGE		TOTALPOP_2010	TOTALPOP_2015	TOTALPOP_CHANGE			CENSUSAREA	POPDEN_2010	POPDEN_2015	POPDEN_CHANGE		NONWHITE_2010	NONWHITE_2015	NONWHITE_CHANGE	UNEMPLOY_2010	UNEMPLOY_2015	UNEMPLOY_CHANGE	COLLEGE_2010	COLLEGE_2015	COLLEGE_CHANGE	INC_2010	INC_2015	INC_CHANGE
1400000US42001030101		4	297	1013	66	0.520348837	324	1002	61	0.488824802	273	1097	0	0.601459854	344	916	23	0.445830086	361	918	1	0.43515625	257	962	52	0.554681353	0.074518751	0.053668552	0.046778501		2597	2586	-0.0042			21.14	122.8476821	122.3273415	-0.423565664		4.6	5.2	0.006	3.4	6.3	0.029	18.8	19.7	0.009	70729	74667	0.055677304
1400000US42001030102		4	664	1860	94	0.45683728	706	1761	149	0.403287462	609	1967	0	0.527173913	753	1623	40	0.360099338	819	1582	1	0.317651957	566	1698	105	0.477838751	0.096737942	0.085635505	0.049335162		5709	5809	0.0175			26.314	216.9567531	220.7570115	1.75162024		6.5	5.4	-0.011	7.2	5.9	-0.013	15.7	23.5	0.078	62372	66806	0.071089591
1400000US42001030200		4	516	1688	89	0.511120802	530	1642	117	0.48580166	451	1796	0	0.598575879	553	1383	43	0.419403739	595	1358	1	0.390481064	401	1443	98	0.536560247	0.091717063	0.095320596	0.062015632		5656	5198	-0.081			46.78	120.9063702	111.1158615	-8.097595423		15.3	17.9	0.026	5.3	7	0.017	11.8	12.6	0.008	52424	51573	-0.016233023
1400000US42001030300		4	467	1289	74	0.449180328	477	1262	91	0.428961749	419	1387	0	0.535991141	458	1123	25	0.414072229	496	1101	0	0.378835316	370	1140	81	0.483972344	0.035108099	0.050126433	0.052018797		3932	4258	0.0829			43.15	91.1239861	98.67902665	8.290946076		17.1	10.9	-0.062	5	5.7	0.007	17.4	16.8	-0.006	52731	62757	0.190134835
1400000US42001030400		4	722	1815	100	0.414486159	751	1755	131	0.380735684	667	1920	0	0.484344801	871	1528	53	0.267944535	890	1539	4	0.26674887	680	1568	149	0.370463079	0.146541624	0.113986814	0.113881722		5661	5796	0.0238			68.894	82.16970999	84.12924202	2.384737673		11.4	7.5	-0.039	2.9	3.8	0.009	18.2	22.7	0.045	57194	60478	0.05741861
1400000US42001030500		4	456	1196	53	0.434017595	451	1175	94	0.420930233	382	1314	0	0.549528302	498	1098	36	0.367647059	537	1073	4	0.332094176	381	1146	78	0.476635514	0.066370536	0.088836057	0.072892788		3676	3756	0.0218			24.615	149.3398334	152.5898842	2.176278576		13.6	16.4	0.028	5	6.9	0.019	17.6	18	0.004	52039	54435	0.046042391
1400000US42001030600		4	801	1406	86	0.263846489	801	1379	120	0.251304348	687	1564	0	0.38960462	812	1235	32	0.203463203	836	1225	4	0.188377724	639	1295	108	0.321253673	0.060383286	0.062926624	0.068350947		4917	4937	0.0041			34.297	143.3653089	143.9484503	0.406752097		17.8	12.4	-0.054	4.6	7.7	0.031	20.7	21.1	0.004	60964	59286	-0.027524441
1400000US42001030700		4	724	1893	104	0.429621463	771	1818	140	0.383657017	644	2029	0	0.518144407	861	1568	37	0.286699108	949	1498	4	0.223990208	695	1603	131	0.373816385	0.142922355	0.159666809	0.144328022		6647	6574	-0.011			31.378	211.8363184	209.5098477	-1.098239772		9	11.3	0.023	8.9	7.4	-0.015	14	15.5	0.015	49135	59058	0.201953801
1400000US42001030800		4	871	2619	138	0.481808159	940	2464	206	0.422160665	811	2740	0	0.54322726	1015	2115	62	0.344611529	1115	2050	1	0.295325332	817	2172	155	0.430979644	0.13719663	0.126835333	0.112247616		7315	7132	-0.025			22.477	325.443787	317.3021311	-2.501708813		8.7	7.2	-0.015	4.9	5	0.001	13.6	15.8	0.022	56649	63164	0.115006443
1400000US42001030900		4	975	2029	120	0.337387964	1020	1957	159	0.298788265	903	2199	0	0.417794971	1012	1635	41	0.231770833	1055	1616	2	0.209876543	827	1685	121	0.325864033	0.105617131	0.088911722	0.091930938		7223	7826	0.0835			10.102	715.0069293	774.6980796	8.348331723		11.2	15.1	0.039	5.4	4.6	-0.008	13.3	16.7	0.034	48582	55773	0.148017784
